logAggregationStatus,runningContainers,allocatedVCores,clusterId,jobId,amContainerLogs,submissionTime,finalStatus,startedTime,numCompletedTasks,queueUsagePercentage,numCompletedStages,finishedTime,numAMContainerPreempted,numSkippedStages,preemptedResourceVCores,id,priority,unmanagedApplication,state,numNonAMContainerPreempted,progress,trackingUI,status,preemptedResourceMB,memorySeconds,numFailedStages,elapsedTime,trackingUrl,allocatedMB,completionTime,numSkippedTasks,clusterUsagePercentage,numActiveTasks,amHostHttpAddress,amNodeLabelExpression,numFailedTasks,applicationTags,name,numActiveStages,queue,vcoreSeconds,applicationType,diagnostics,numTasks,user
NOT_START,-1,-1,1509436254805,2,http://hdp203.cancer.com:8042/node/containerlogs/container_e03_1509343490195_0024_01_000001/root,2017-10-31T05:39:26.688GMT,SUCCEEDED,1509426373287,2,0.0,1,1509428372838,0,0,0,application_1509343490195_0024,0,False,FINISHED,0,100.0,History,SUCCEEDED,0,5974582,0,1999551,http://hdp203.cancer.com:8088/proxy/application_1509343490195_0024/,-1,2017-10-31T05:39:26.755GMT,0,0.0,0,hdp203.cancer.com:8042,,0,,SimpleTextClassificationPipeline,0,spark,1964,SPARK,null,2,root
NOT_START,-1,-1,1509436254805,1,http://hdp203.cancer.com:8042/node/containerlogs/container_e03_1509343490195_0024_01_000001/root,2017-10-31T05:39:25.465GMT,SUCCEEDED,1509426373287,2,0.0,1,1509428372838,0,0,0,application_1509343490195_0024,0,False,FINISHED,0,100.0,History,SUCCEEDED,0,5974582,0,1999551,http://hdp203.cancer.com:8088/proxy/application_1509343490195_0024/,-1,2017-10-31T05:39:25.814GMT,0,0.0,0,hdp203.cancer.com:8042,,0,,SimpleTextClassificationPipeline,0,spark,1964,SPARK,null,2,root
NOT_START,-1,-1,1509436254805,0,http://hdp203.cancer.com:8042/node/containerlogs/container_e03_1509343490195_0024_01_000001/root,2017-10-31T05:08:32.629GMT,SUCCEEDED,1509426373287,2,0.0,1,1509428372838,0,0,0,application_1509343490195_0024,0,False,FINISHED,0,100.0,History,SUCCEEDED,0,5974582,0,1999551,http://hdp203.cancer.com:8088/proxy/application_1509343490195_0024/,-1,2017-10-31T05:39:13.807GMT,0,0.0,0,hdp203.cancer.com:8042,,0,,SimpleTextClassificationPipeline,0,spark,1964,SPARK,null,2,root
NOT_START,-1,-1,1509436254805,12,http://hdp204.cancer.com:8042/node/containerlogs/container_e03_1509343490195_0026_01_000001/root,2017-10-31T05:43:20.883GMT,SUCCEEDED,1509428576169,6,0.0,1,1509428601476,0,0,0,application_1509343490195_0026,0,False,FINISHED,0,100.0,History,SUCCEEDED,0,141694,0,25307,http://hdp203.cancer.com:8088/proxy/application_1509343490195_0026/,-1,2017-10-31T05:43:21.186GMT,0,0.0,0,hdp204.cancer.com:8042,,0,,SimpleTextClassificationPipeline,0,spark,55,SPARK,null,6,root
NOT_START,-1,-1,1509436254805,11,http://hdp204.cancer.com:8042/node/containerlogs/container_e03_1509343490195_0026_01_000001/root,2017-10-31T05:43:20.368GMT,SUCCEEDED,1509428576169,8,0.0,2,1509428601476,0,0,0,application_1509343490195_0026,0,False,FINISHED,0,100.0,History,SUCCEEDED,0,141694,0,25307,http://hdp203.cancer.com:8088/proxy/application_1509343490195_0026/,-1,2017-10-31T05:43:20.522GMT,0,0.0,0,hdp204.cancer.com:8042,,0,,SimpleTextClassificationPipeline,0,spark,55,SPARK,null,8,root
NOT_START,-1,-1,1509436254805,10,http://hdp204.cancer.com:8042/node/containerlogs/container_e03_1509343490195_0026_01_000001/root,2017-10-31T05:43:20.174GMT,SUCCEEDED,1509428576169,8,0.0,2,1509428601476,0,0,0,application_1509343490195_0026,0,False,FINISHED,0,100.0,History,SUCCEEDED,0,141694,0,25307,http://hdp203.cancer.com:8088/proxy/application_1509343490195_0026/,-1,2017-10-31T05:43:20.344GMT,0,0.0,0,hdp204.cancer.com:8042,,0,,SimpleTextClassificationPipeline,0,spark,55,SPARK,null,8,root
NOT_START,-1,-1,1509436254805,9,http://hdp204.cancer.com:8042/node/containerlogs/container_e03_1509343490195_0026_01_000001/root,2017-10-31T05:43:20.014GMT,SUCCEEDED,1509428576169,8,0.0,2,1509428601476,0,0,0,application_1509343490195_0026,0,False,FINISHED,0,100.0,History,SUCCEEDED,0,141694,0,25307,http://hdp203.cancer.com:8088/proxy/application_1509343490195_0026/,-1,2017-10-31T05:43:20.137GMT,0,0.0,0,hdp204.cancer.com:8042,,0,,SimpleTextClassificationPipeline,0,spark,55,SPARK,null,8,root
NOT_START,-1,-1,1509436254805,8,http://hdp204.cancer.com:8042/node/containerlogs/container_e03_1509343490195_0026_01_000001/root,2017-10-31T05:43:19.803GMT,SUCCEEDED,1509428576169,8,0.0,2,1509428601476,0,0,0,application_1509343490195_0026,0,False,FINISHED,0,100.0,History,SUCCEEDED,0,141694,0,25307,http://hdp203.cancer.com:8088/proxy/application_1509343490195_0026/,-1,2017-10-31T05:43:19.982GMT,0,0.0,0,hdp204.cancer.com:8042,,0,,SimpleTextClassificationPipeline,0,spark,55,SPARK,null,8,root
NOT_START,-1,-1,1509436254805,7,http://hdp204.cancer.com:8042/node/containerlogs/container_e03_1509343490195_0026_01_000001/root,2017-10-31T05:43:19.610GMT,SUCCEEDED,1509428576169,8,0.0,2,1509428601476,0,0,0,application_1509343490195_0026,0,False,FINISHED,0,100.0,History,SUCCEEDED,0,141694,0,25307,http://hdp203.cancer.com:8088/proxy/application_1509343490195_0026/,-1,2017-10-31T05:43:19.768GMT,0,0.0,0,hdp204.cancer.com:8042,,0,,SimpleTextClassificationPipeline,0,spark,55,SPARK,null,8,root
NOT_START,-1,-1,1509436254805,6,http://hdp204.cancer.com:8042/node/containerlogs/container_e03_1509343490195_0026_01_000001/root,2017-10-31T05:43:19.418GMT,SUCCEEDED,1509428576169,8,0.0,2,1509428601476,0,0,0,application_1509343490195_0026,0,False,FINISHED,0,100.0,History,SUCCEEDED,0,141694,0,25307,http://hdp203.cancer.com:8088/proxy/application_1509343490195_0026/,-1,2017-10-31T05:43:19.584GMT,0,0.0,0,hdp204.cancer.com:8042,,0,,SimpleTextClassificationPipeline,0,spark,55,SPARK,null,8,root
